State,Year,NumHomicides,NumGuns,NumDrugUsers,NumAlcoholAbusers,NumViolentCrime,NumLawEnforcementEmployees,Population,MedianAge,RealGDPperCapita
ALABAMA,2017,575,161641,116000,184000,25551,8065,4875120,39,37508
ALASKA,2017,77,15824,22000,38000,6133,1933,739786,34.3,63610
ARIZONA,2017,484,179738,161000,318000,35644,22750,7048876,37.7,39583
ARKANSAS,2017,265,79841,69000,133000,16671,9531,3002997,38.1,36714
CALIFORNIA,2017,1994,344622,975000,1811000,177627,119684,39399349,36.5,60359
COLORADO,2017,252,92435,160000,293000,20638,16900,5615902,36.8,54026
CONNECTICUT,2017,117,82400,106000,187000,8180,9380,3573880,40.9,62633
DELAWARE,2017,59,4852,27000,50000,4361,3443,957078,40.5,63955
DISTRICT OF COLUMBIA,2017,125,47228,23000,53000,6974,4925,695691,34,159607
FLORIDA,2017,1232,343288,481000,937000,85625,72088,20976812,42.1,39842
GEORGIA,2017,726,190050,204000,377000,37258,32001,10413055,36.7,45925
HAWAII,2017,42,7859,27000,61000,3577,3729,1424203,39,52869
IDAHO,2017,48,49566,36000,82000,3888,4506,1718904,36.3,36441
ILLINOIS,2017,852,146487,278000,669000,56180,35332,12786196,38,55102
INDIANA,2017,408,114019,137000,289000,26598,9972,6660082,37.7,46427
IOWA,2017,112,28494,61000,185000,9230,8160,3143637,38.1,52284
KANSAS,2017,138,52634,55000,131000,12030,9613,2910689,36.6,47435
KENTUCKY,2017,307,81068,104000,183000,10056,9811,4453874,38.8,39277
LOUISIANA,2017,612,116831,102000,236000,26092,20049,4670818,36.9,44372
MAINE,2017,33,15371,35000,65000,1617,2900,1335063,44.8,39521
MARYLAND,2017,559,103109,141000,271000,30273,20060,6024891,38.7,56375
MASSACHUSETTS,2017,178,37152,189000,418000,24560,20119,6863246,39.4,66500
MICHIGAN,2017,640,65742,250000,462000,44826,23856,9976447,39.7,44201
MINNESOTA,2017,129,79307,109000,234000,13291,14848,5568155,37.9,54805
MISSISSIPPI,2017,162,35494,67000,108000,8526,4437,2989663,37.4,32447
MISSOURI,2017,659,72996,129000,271000,32420,20492,6108612,38.6,43036
MONTANA,2017,43,22133,27000,67000,3961,3034,1053090,39.7,39833
NEBRASKA,2017,47,22234,40000,91000,5873,4852,1917575,36.4,54654
NEVADA,2017,311,76888,86000,140000,16667,9831,2972405,37.9,44812
NEW HAMPSHIRE,2017,18,64135,37000,71000,2668,3623,1349767,42.9,52509
NEW JERSEY,2017,346,57507,173000,357000,20604,40469,8888543,39.9,56776
NEW MEXICO,2017,166,97580,55000,104000,16359,4208,2093395,37.8,41619
NEW YORK,2017,564,76207,459000,953000,70799,83642,19590719,38.8,65220
NORTH CAROLINA,2017,601,152238,231000,372000,37364,34950,10270800,38.7,44706
NORTH DAKOTA,2017,25,13272,16000,40000,2125,2418,755176,35.1,64911
OHIO,2017,713,173405,290000,546000,34683,17954,11664129,39.3,48188
OKLAHOMA,2017,283,71269,89000,189000,17934,12945,3932640,36.5,44535
OREGON,2017,131,61383,116000,261000,11674,10729,4146592,39.3,51312
PENNSYLVANIA,2017,809,236377,286000,540000,40120,30731,12790447,40.7,51841
RHODE ISLAND,2017,21,4223,31000,61000,2460,3140,1056486,40,48314
SOUTH CAROLINA,2017,409,105601,115000,226000,25432,11876,5021219,39.4,37637
SOUTH DAKOTA,2017,26,21130,22000,53000,3771,2971,873286,36.9,48004
TENNESSEE,2017,596,99159,151000,269000,43755,26765,6708794,38.7,44348
TEXAS,2017,1581,588696,519000,1040000,124238,70987,28322717,34.6,53737
UTAH,2017,82,72856,72000,119000,7410,7196,3103118,30.9,45493
VERMONT,2017,18,5872,20000,39000,1034,1506,624525,42.8,44831
VIRGINIA,2017,515,307822,192000,384000,17632,24025,8465207,38.2,52124
WASHINGTON,2017,242,91835,215000,373000,22548,15385,7425432,37.6,59333
WEST VIRGINIA,2017,109,35264,42000,69000,6368,4689,1817048,42.5,37353
WISCONSIN,2017,257,64878,106000,339000,18539,18406,5792051,39.4,48666
WYOMING,2017,14,132806,12000,30000,1376,2025,578934,37.7,61091
ALABAMA,2012,333,76159,101000,199000,21693,12745,4815564,38.2,36440
ALASKA,2012,40,8939,15000,49000,4412,1968,730399,33.7,73505
ARIZONA,2012,365,108347,153000,370000,28108,22999,6556629,36.5,38591
ARKANSAS,2012,176,56706,69000,128000,13835,9148,2952109,37.6,34982
CALIFORNIA,2012,2047,268479,926000,2218000,160944,117268,37960782,35.6,52963
